data,ora,CO,NO2,Nox,O3,PM10
16/05/2025, 7.00.00,"0.6",21,38,75,8
16/05/2025, 8.00.00,"0.7",33,56,79,7
16/05/2025, 9.00.00,"0.7",16,26,88,11
16/05/2025, 10.00.00,"0.6",14,26,86,17
16/05/2025, 11.00.00,"0.6",14,22,92,23
16/05/2025, 12.00.00,"0.6",15,25,94,17
16/05/2025, 13.00.00,"0.6",18,31,97,25
16/05/2025, 14.00.00,"0.6",15,27,98,13
16/05/2025, 15.00.00,"0.5",13,22,99,13
16/05/2025, 16.00.00,"0.5",13,21,102,10
16/05/2025, 17.00.00,"0.5",16,26,101,3
16/05/2025, 18.00.00,"0.5",15,23,104,5
16/05/2025, 19.00.00,"0.6",16,23,99,7
16/05/2025, 20.00.00,"0.6",19,27,91,2
16/05/2025, 21.00.00,"0.5",17,26,86,5
16/05/2025, 22.00.00,"0.6",16,24,86,9
16/05/2025, 23.00.00,"0.6",14,21,85,5
17/05/2025, 0.00.00,"0.5",12,19,89,16
17/05/2025, 1.00.00,"0.7",16,26,88,11
17/05/2025, 2.00.00,"0.6",14,26,86,17
17/05/2025, 3.00.00,"0.6",13,20,83,7
17/05/2025, 4.00.00,"0.5",11,18,88,6
17/05/2025, 5.00.00,"0.5",14,21,78,6
17/05/2025, 6.00.00,"0.5",14,21,72,13
17/05/2025, 7.00.00,"0.6",19,31,73,12
17/05/2025, 8.00.00,"0.6",19,34,71,12
17/05/2025, 9.00.00,"0.6",16,30,75,10
17/05/2025, 10.00.00,"0.5",14,25,81,7
17/05/2025, 11.00.00,"0.4",17,28,90,5
17/05/2025, 12.00.00,"0.4",20,45,93,11
17/05/2025, 13.00.00,"0.4",14,23,102,21
17/05/2025, 14.00.00,"0.4",14,22,104,8
17/05/2025, 15.00.00,"0.4",13,21,102,3
17/05/2025, 16.00.00,"0.4",14,23,97,6
17/05/2025, 17.00.00,"0.4",13,23,97,4
17/05/2025, 18.00.00,"0.5",14,25,93,4
17/05/2025, 19.00.00,"0.5",14,25,94,4
17/05/2025, 20.00.00,"0.5",13,21,96,3
17/05/2025, 21.00.00,"0.5",18,34,91,5
17/05/2025, 22.00.00,"0.6",13,20,95,6
17/05/2025, 23.00.00,"0.6",12,19,93,7
18/05/2025, 0.00.00,"0.5",11,18,96,12
